DIRECTORIO,P424,P4030S1,P4030S1A1,P4030S5,P4030S3,P4030S4,P4030S4A1,P4030S6,P4030S2,MES_REF,DIA_REF,CLASE,REGION,F_EXP_VIV
350,1,1,1,2,2,2,,2,2,9,5,2,1,286.02271453
351,2,1,2,1,1,1,3,1,1,9,4,1,2,399.63221387
353,1,1,1,2,2,2,,2,2,9,4,2,1,166.25617902
354,2,1,4,1,1,1,3,1,1,9,5,1,1,113.99423907
358,1,1,3,1,1,1,3,1,1,9,5,1,3,181.83490517
360,2,1,2,1,1,1,3,1,1,9,4,1,2,432.0243502
364,2,1,4,1,1,1,3,1,1,9,4,1,1,323.69948098
368,1,1,1,1,2,1,3,1,1,9,4,1,6,12.655923045
369,1,1,2,1,1,1,3,1,1,9,5,1,3,151.79501013
370,2,1,4,1,1,1,3,1,1,9,5,1,1,348.76253847
371,3,1,2,1,1,1,3,1,1,9,4,1,4,174.85706623
374,1,1,1,2,2,2,,2,2,9,4,2,1,130.77441396
375,1,1,2,1,1,1,1,1,1,9,5,2,3,157.41233994
378,1,2,,2,2,2,,2,2,9,7,2,1,206.91413187
380,2,1,2,1,1,1,3,1,1,9,6,1,2,368.14915033
383,1,1,2,1,2,1,3,1,1,9,5,1,1,213.28659999
387,2,1,1,1,1,1,2,2,1,9,7,1,2,105.92883631
396,3,1,2,1,1,1,1,1,1,9,4,2,3,569.23062287
397,2,1,2,1,1,1,3,2,1,9,3,1,2,505.27788857
398,1,1,2,1,1,1,3,2,2,9,7,1,3,374.35262223
400,1,1,1,1,1,1,1,1,1,9,4,1,1,515.59651737
403,1,1,1,1,2,1,1,2,1,9,3,2,1,591.43099727
404,2,1,2,1,1,1,3,2,1,9,7,1,2,415.183544
409,2,1,2,1,1,1,1,1,1,9,3,2,3,729.9426074
411,1,1,2,1,1,1,5,2,1,9,5,1,1,48.137017567
416,1,1,2,1,1,1,3,1,1,9,7,1,3,360.36204933
417,1,1,1,2,2,2,,2,2,9,5,1,1,103.9415088
418,3,1,2,1,1,1,1,2,1,9,3,2,3,403.04429117
420,1,1,1,1,1,1,3,2,1,9,5,1,5,357.97262043
421,1,1,1,1,1,1,2,2,1,9,4,1,2,116.14677762
426,2,1,2,1,1,1,1,2,1,9,4,1,1,578.74332237
429,1,2,,2,2,2,,2,2,9,7,2,1,148.06226916
431,1,1,1,1,2,1,1,2,1,9,5,2,1,317.39176792
437,1,1,2,1,1,1,3,1,1,9,5,1,3,140.31407032
439,1,1,1,2,2,1,3,2,2,9,5,1,4,111.55752762
440,1,1,4,1,1,1,3,1,1,9,3,1,6,9.0860161023
441,1,1,3,1,1,1,5,1,1,9,5,1,5,306.88943234
443,1,1,1,1,2,1,3,1,1,9,5,1,6,16.200480453
446,3,1,3,1,1,1,3,1,2,9,5,1,5,285.23978567
447,2,1,1,1,1,1,2,1,1,9,2,1,2,158.1672697
449,2,1,5,1,1,1,3,1,1,9,5,1,6,8.036058565
451,2,1,3,1,1,1,3,2,1,9,3,1,4,419.6046953
452,1,1,1,1,2,2,,2,2,9,5,1,1,144.62783843
453,1,1,1,1,2,2,,2,2,9,2,2,1,246.71828227
455,3,1,3,1,1,1,5,1,2,9,6,1,5,394.68773447
460,2,1,1,1,1,1,2,1,1,9,5,1,2,114.81909747
462,1,1,1,2,2,1,3,2,1,9,5,1,6,14.551327181
464,1,1,1,1,2,2,,2,2,9,1,2,1,120.33486768
465,1,1,2,1,1,1,3,2,1,9,2,1,2,176.60674442
466,3,1,3,1,1,1,3,1,1,9,6,1,5,359.35645203
467,1,1,2,1,1,1,1,2,1,9,5,1,1,397.7122766
469,1,1,1,1,1,2,,2,2,9,1,2,1,314.50424345
470,1,1,2,1,1,1,2,1,1,9,5,1,3,1983.0076805
471,2,1,1,1,2,1,3,1,1,9,5,1,6,26.813981419
472,3,1,2,1,1,1,3,2,2,9,2,1,4,194.77993486
474,2,1,4,1,1,1,3,1,1,9,1,1,3,104.51263153
477,2,1,2,1,1,1,3,2,1,9,5,1,2,205.66491971
478,2,1,4,1,1,1,3,1,1,9,1,1,1,106.57142106
484,1,1,2,1,1,1,3,1,1,9,7,1,3,88.765013243
488,2,1,1,1,1,1,1,1,1,9,1,1,1,803.8089341
491,2,1,1,2,2,1,3,2,1,9,1,1,6,11.237220147
494,2,1,5,1,1,1,2,1,1,9,5,1,2,271.58633347
495,1,1,4,1,1,1,3,2,2,9,7,1,4,178.67431115
496,1,2,,2,2,2,,2,2,9,3,2,1,132.09985867
498,1,1,1,1,1,1,2,1,1,9,1,1,2,129.35857797
507,2,1,5,1,1,1,3,1,1,9,7,1,6,10.166747148
508,1,1,1,2,2,1,3,2,2,9,4,1,4,72.363728847
511,2,1,2,1,1,1,3,1,1,9,2,1,1,150.96683881
512,2,1,3,1,1,1,3,2,1,9,7,1,4,347.128373
513,1,1,3,1,1,1,2,2,2,9,2,1,3,394.8533354
517,1,1,2,1,1,1,3,1,1,9,4,1,2,173.56652067
518,3,1,3,1,1,1,5,2,2,9,5,1,4,226.33984515
525,1,1,2,1,1,1,3,1,1,9,5,1,1,183.33214704
530,3,1,2,1,1,1,3,2,1,9,2,1,5,350.41003527
534,2,1,5,1,1,1,2,1,2,9,4,1,2,327.25159445
535,1,1,1,1,1,1,1,2,1,9,7,1,1,380.21139437
536,2,1,2,1,1,1,1,1,1,9,2,2,3,183.04912615
542,1,1,1,1,2,1,2,1,2,9,6,1,3,246.13813864
546,2,1,1,1,1,1,3,2,1,9,7,1,2,207.18083267
549,2,1,2,1,1,1,1,1,1,9,7,2,3,450.8733168
552,2,1,1,1,1,1,3,1,1,9,5,1,2,210.43970986
553,2,1,1,1,1,1,1,1,1,9,4,1,1,420.4362951
555,1,1,1,1,1,1,3,1,1,9,7,1,1,619.46905603
557,2,1,2,1,1,1,3,1,1,9,4,1,3,134.28985612
563,1,1,2,1,2,1,1,2,1,9,7,1,1,371.33154067
567,1,1,1,1,1,1,1,2,1,9,7,1,1,481.33905567
568,1,1,1,1,1,1,3,2,1,9,6,1,1,943.1937408
569,2,1,4,1,1,1,3,1,1,9,2,1,1,214.51399876
577,1,1,1,1,2,2,,2,2,9,6,2,1,275.01454056
579,1,1,1,1,1,1,3,2,2,9,7,1,1,712.0979048
583,1,1,2,1,1,1,1,1,1,9,1,1,3,2145.5568705
585,2,1,1,1,1,1,3,1,1,9,4,1,2,228.6058823
587,2,1,2,1,1,1,3,1,2,9,4,1,5,369.05444093
589,2,1,1,1,1,1,3,1,1,9,4,1,2,196.59510612
592,1,2,,2,2,2,,2,2,9,2,2,1,171.18228803
596,2,1,2,1,1,1,3,1,1,9,1,1,4,461.9270597
597,2,1,1,1,1,1,3,2,1,9,4,1,2,214.8751356
598,2,1,2,1,1,1,3,1,1,9,4,1,1,240.12555271
599,1,1,2,1,2,1,3,1,2,9,6,1,4,243.15463931
601,2,1,1,1,2,1,3,1,1,9,2,1,6,17.30233979
604,2,1,4,1,1,1,3,1,1,9,6,1,1,321.54636061
608,1,1,2,1,1,1,1,1,1,9,2,1,3,1853.589756
612,1,1,2,1,1,1,3,2,1,9,4,1,5,290.88142205
616,1,1,1,1,2,2,,2,1,9,4,2,1,150.09839148
622,2,1,3,1,1,1,2,2,1,9,6,1,1,592.85309933
626,1,1,1,2,2,1,3,2,2,9,4,1,1,269.05359329
629,1,1,1,1,1,1,2,2,1,9,5,1,3,263.40754045
635,1,1,1,1,2,2,,2,2,9,4,1,1,349.65210743
638,1,2,,2,2,2,,2,1,9,5,1,4,284.44832854
643,1,1,3,1,1,1,3,2,1,9,3,1,2,191.94843111
644,2,1,1,1,1,1,2,2,1,9,6,1,2,144.48309949
646,1,1,1,1,2,1,1,2,1,9,4,2,1,402.60733353
648,2,1,2,1,1,1,3,2,1,9,3,1,1,142.77066406
649,1,1,1,1,2,1,1,2,1,9,6,2,1,332.88082392
651,2,1,4,1,1,1,3,1,1,9,4,1,1,156.97467624
655,2,1,1,1,2,1,3,2,1,9,6,1,6,19.36359647
658,1,1,5,1,1,1,2,1,1,9,3,1,2,302.95587523
662,2,1,2,1,1,1,3,1,1,9,5,1,2,175.58388016
665,1,1,1,1,1,1,1,2,1,9,6,1,1,375.4708907
669,1,1,1,1,1,1,2,2,2,9,6,1,2,116.47658702
671,2,1,1,1,1,1,3,1,1,9,1,1,2,187.97090778
672,1,1,1,1,1,1,1,1,1,9,6,1,1,490.1810856
673,2,1,2,1,1,1,3,1,1,9,4,1,4,404.3694568
675,1,1,1,1,2,1,3,2,2,9,4,1,4,266.33847503
677,2,1,4,1,1,1,3,1,1,9,4,1,2,249.42471732
682,1,1,1,2,2,2,,1,2,9,4,2,1,168.17056345
684,1,1,3,1,2,1,3,1,1,9,4,1,4,227.51747944
685,2,1,3,1,1,1,3,1,1,9,1,1,5,430.43308127
686,1,1,2,1,1,1,1,2,1,9,4,1,3,1855.3014345
688,1,1,2,1,1,1,3,2,1,9,6,1,3,118.46526511
693,1,1,1,2,2,2,,2,2,9,6,2,1,231.64532557
696,1,1,1,1,1,1,1,2,1,9,1,1,1,497.30129693
697,2,1,4,1,1,1,3,1,1,9,6,1,4,194.56766665
699,1,1,2,1,1,1,1,2,1,9,6,1,3,2590.5606709
704,1,1,3,1,2,1,3,1,1,9,4,1,4,186.3722748
710,1,1,1,2,2,2,,2,2,9,6,1,1,173.0251721
712,2,1,4,1,1,1,3,1,1,9,1,1,1,331.18123489
713,1,1,2,1,1,1,8,2,2,9,6,1,3,442.1537367
714,2,1,2,1,1,1,3,2,1,9,6,1,2,346.678528
717,1,1,2,1,1,1,3,1,1,9,6,1,2,173.24880961
719,1,1,1,1,1,1,3,2,1,9,6,1,1,476.59844347
722,1,1,1,2,2,2,,2,1,9,6,2,1,264.10243883
727,1,1,4,1,1,1,3,2,1,9,6,1,4,178.74527243
1413,1,1,3,1,1,1,3,2,1,9,3,1,3,131.71921245
1414,2,1,3,1,1,1,3,1,1,9,2,1,1,193.05897179
1416,2,1,4,1,1,1,3,1,1,9,7,1,3,433.41052633
1417,1,1,2,1,1,1,2,1,2,9,1,1,4,66.651997237
1418,1,2,,2,2,2,,2,2,9,3,2,1,268.01406805
1421,1,1,2,1,1,1,3,1,1,9,2,1,1,41.809882923
1423,2,1,2,1,1,1,3,1,1,9,5,1,5,414.62845497
1424,1,1,1,1,2,1,2,2,2,9,1,2,2,99.341491427
1425,1,1,1,1,2,2,,1,2,9,7,2,1,221.92877808
1426,1,1,1,2,2,2,,2,2,9,3,2,1,257.80135265
1429,3,1,1,2,2,1,3,2,1,9,1,1,2,199.91232279
1431,1,1,1,1,2,1,2,2,1,9,7,2,2,199.09992703
1434,1,1,2,1,1,1,3,2,1,9,5,1,2,171.66814248
1435,1,1,1,1,1,1,8,2,2,9,3,2,1,153.84891922
1441,2,1,1,2,2,1,3,1,1,9,2,1,6,7.836046293
1442,1,1,1,1,2,1,2,2,1,9,5,2,2,229.64511246
1444,1,1,1,1,2,1,1,2,2,9,1,1,2,220.5638902
1449,2,1,3,2,1,1,7,1,1,9,3,1,6,6.2822021703
1450,2,1,2,1,1,1,3,1,1,9,7,1,4,201.87699862
1453,1,1,1,1,1,1,3,1,1,9,1,1,3,124.34177959
1454,2,1,3,1,1,1,3,2,1,9,5,1,5,421.6593578
1456,1,1,1,1,2,2,,2,2,9,2,2,1,134.64921141
1457,1,1,1,1,2,1,2,1,2,9,1,2,2,192.38219948
1460,2,1,3,1,1,1,7,2,2,9,3,1,6,9.4512101847
1461,1,1,3,1,1,1,3,2,1,9,1,1,1,258.25526039
1462,1,1,1,2,2,2,,2,2,9,5,2,2,130.50991766
1465,1,1,1,1,2,1,1,2,2,9,7,1,2,152.24864705
1469,2,1,2,1,1,1,3,2,1,9,3,1,5,252.74795126
1470,2,1,2,1,1,1,3,1,1,9,1,1,5,390.85524423
1477,1,1,2,1,1,1,3,1,1,9,2,1,2,257.02730697
1478,2,1,3,1,1,1,3,1,1,9,1,1,1,247.42417314
1479,1,1,1,1,2,1,1,2,2,9,7,1,2,202.39349042
1483,1,1,1,2,2,2,,2,2,9,3,2,1,265.1869875
1484,2,1,1,1,1,1,3,1,1,9,7,1,5,495.3260503
1487,1,1,1,1,1,1,3,2,1,9,2,1,1,147.66200962
1490,1,1,1,2,2,2,,2,2,9,1,2,2,217.08752589
1491,1,1,1,2,2,2,,2,2,9,5,2,3,73.710702103
1492,1,1,1,1,2,2,,2,2,9,1,2,1,260.24674373
1495,1,1,1,1,1,1,1,2,2,9,1,2,1,120.33486768
1501,1,1,1,1,1,1,3,2,1,9,2,1,1,191.36401433
1502,1,1,1,1,2,1,2,2,2,9,4,2,2,313.95741547
1503,2,1,3,1,1,1,3,1,1,9,3,1,1,308.84517622
1505,2,1,2,1,1,1,3,1,1,9,4,1,3,197.24477553
1506,2,1,1,1,1,1,1,2,1,9,2,1,1,481.21465437
1510,1,1,1,1,1,1,1,2,1,9,2,1,1,479.61112667
1511,1,1,2,1,1,1,2,1,1,9,3,1,1,217.16581812
1512,3,1,2,1,1,1,2,1,1,9,1,1,3,2115.2873081
1517,1,1,2,1,1,1,3,2,1,9,2,1,1,157.54080119
1519,3,1,3,1,1,1,2,2,2,9,1,1,4,340.05494417
1520,1,1,1,1,2,1,2,2,1,9,1,2,2,281.53594322
1521,2,1,3,2,1,1,7,1,1,9,1,1,6,8.920501646
1526,1,1,1,1,1,1,2,1,1,9,1,1,3,115.96733125
1528,1,1,1,1,2,1,2,2,2,9,5,2,2,323.45209537
1529,2,1,2,1,1,1,3,1,1,9,1,1,5,393.55437893
1531,2,1,4,1,1,1,3,1,1,9,5,1,3,487.44239927
1532,2,1,1,1,1,1,3,1,1,9,7,1,5,419.30856747
1534,1,1,1,1,1,1,3,1,2,9,3,1,3,147.1866781
1538,2,1,4,1,1,1,5,1,1,9,2,1,1,49.96978353
1539,1,1,1,1,2,1,2,1,1,9,5,2,1,303.18430111
1543,2,1,2,1,1,1,3,1,1,9,7,1,1,252.79018578
1544,1,1,1,1,1,1,1,2,1,9,3,1,1,605.31224783
1546,1,1,1,1,2,1,2,2,2,9,1,2,2,250.44518532
1547,2,1,1,1,2,2,,2,2,9,4,2,2,241.16981148
1549,1,1,3,1,1,1,3,1,1,9,1,1,1,177.79877923
1551,2,1,3,2,1,1,7,2,1,9,2,1,6,5.9987258167
1552,1,1,1,1,1,1,1,1,1,9,3,1,1,669.82559267
1553,1,1,3,1,1,1,3,1,1,9,1,1,1,175.20896498
1555,2,1,4,1,1,1,3,1,1,9,2,1,3,96.1157465
1557,1,1,4,1,1,1,2,1,1,9,3,1,2,413.8992191
1559,1,1,1,2,2,2,,2,2,9,7,2,3,223.63943957
1562,1,1,1,2,2,1,3,2,2,9,2,1,4,58.940619227
1565,2,1,2,1,1,1,3,1,2,9,2,1,4,44.147618707
1566,1,1,1,1,2,2,,2,2,9,4,2,3,102.65476605
1567,2,1,1,1,1,1,3,2,1,9,7,1,5,357.00726467
1569,2,1,4,1,1,1,3,1,1,9,1,1,2,138.02339242
1570,1,1,1,2,2,1,2,2,2,9,4,1,2,250.16419906
1571,2,1,3,1,1,1,3,1,1,9,2,1,1,215.3917076
1577,1,1,1,1,1,2,,2,2,9,2,2,1,135.86248882
1579,1,1,1,2,2,2,,2,2,9,7,2,2,130.0900483
1581,3,1,2,1,1,1,2,2,1,9,1,1,3,2115.2873081
1585,1,1,3,1,1,1,3,1,1,9,2,1,1,47.696670533
1586,3,1,1,1,1,1,9,2,2,9,2,1,2,202.91055297
1587,1,1,1,1,2,1,2,2,1,9,7,2,2,251.37832922
1589,3,1,1,1,1,1,3,2,2,9,4,1,2,241.68196757
1591,1,1,2,1,2,2,,2,2,9,7,2,3,102.58460358
1592,2,1,2,1,1,1,3,1,2,9,2,1,4,53.468319683
1597,2,1,2,1,1,1,3,2,2,9,7,1,2,186.54338566
1600,1,1,1,1,2,1,2,2,1,9,3,2,2,241.42001246
1601,2,1,1,1,1,1,3,1,1,9,7,1,5,450.6846349
1604,1,1,1,1,1,1,3,2,1,9,2,1,1,180.23856523
1605,1,1,2,1,1,1,3,1,1,9,3,1,2,222.28528746
1606,1,1,2,1,1,1,2,1,1,9,7,1,3,187.38453326
1607,1,1,1,1,1,2,,1,2,9,3,2,1,322.79024143
1610,2,1,3,1,1,1,3,1,1,9,2,1,4,112.21825669
1612,1,1,2,1,1,1,3,1,1,9,3,1,2,178.63651471
1614,3,1,2,1,1,1,3,2,1,9,6,1,5,359.35645203
1615,3,1,2,1,1,1,2,1,1,9,2,1,3,1644.2725755
1616,1,1,1,1,2,1,2,2,2,9,6,2,2,407.24831913
1620,2,1,4,1,1,1,3,1,1,9,2,1,3,126.91953491
1622,2,1,2,1,1,1,3,2,1,9,6,1,5,300.95135746
1623,1,1,1,1,2,2,,2,2,9,3,2,1,312.91192442
1624,1,1,2,1,1,1,3,1,1,9,7,1,2,205.51797176
1626,1,1,2,1,1,1,3,1,1,9,3,1,3,172.83963007
1627,1,1,1,1,2,2,,2,2,9,3,2,3,85.451658533
1628,2,1,4,1,1,1,3,2,1,9,3,1,3,124.84885653
1629,2,1,2,1,1,1,3,1,1,9,1,1,2,177.13997532
1630,1,1,2,1,1,1,3,1,1,9,6,1,3,119.69008947
1631,1,1,1,1,1,2,,2,2,9,2,2,1,337.4058185
1632,1,1,1,1,2,2,,2,2,9,3,1,2,174.20429606
1635,2,1,1,1,1,1,3,1,1,9,1,1,2,220.16978962
1636,2,1,1,1,2,2,,2,2,9,6,2,2,407.24831913
1638,2,1,2,1,1,1,3,2,1,9,6,1,5,359.35645203
1643,1,1,2,1,1,1,1,1,1,9,3,1,1,828.60961943
1644,1,1,1,1,2,2,,2,2,9,2,2,3,97.00311564
1647,1,1,1,1,2,2,,2,2,9,2,2,3,86.722456683
1648,1,1,1,2,2,2,,2,2,9,2,2,1,417.6744291
1651,1,1,1,1,2,1,2,2,2,9,2,2,2,131.32559155
1652,1,1,2,1,1,1,1,1,1,9,3,1,1,773.5334714
1654,2,1,2,1,1,1,3,1,1,9,3,1,1,397.14304317
1658,1,1,1,1,2,1,1,2,2,9,6,1,2,184.02329294
1661,1,1,1,1,2,2,,2,2,9,2,2,3,86.722456683
1662,1,1,1,1,2,2,,1,2,9,6,2,1,484.08864093
1663,1,1,1,1,2,1,1,2,1,9,2,1,2,187.15469282
1664,2,1,1,1,1,1,3,1,1,9,6,1,2,192.14122792
1665,1,1,2,1,2,2,,2,2,9,1,2,3,72.84544109
1667,1,1,1,1,1,1,3,1,1,9,1,1,1,471.70639613
1669,1,1,3,1,1,1,3,1,1,9,2,1,1,240.83670383
1670,1,1,1,2,2,1,2,2,2,9,6,1,2,219.38457457
1673,1,1,1,1,1,1,8,2,2,9,1,1,3,361.6287018
1675,1,1,2,1,1,1,8,2,1,9,2,1,3,385.33213577
1676,1,1,1,1,2,2,,2,2,9,6,2,3,154.13944114
1677,1,1,1,1,2,1,2,2,2,9,4,2,2,193.70513793
1680,2,1,2,1,1,1,3,1,1,9,7,1,3,371.96578927
1682,2,1,2,1,1,1,3,1,1,9,4,1,2,195.74274863
1685,2,1,2,1,1,1,3,1,1,9,2,1,2,254.45527364
1688,1,1,1,2,2,2,,2,2,9,6,2,2,494.623072
1689,2,1,1,1,1,1,3,1,1,9,4,1,5,467.56781433
1690,2,1,3,1,1,1,3,1,1,9,2,1,3,383.8559844
